Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
Hawkins Cookers Ltd,HAWKINCOOK,,2861.659722,5411.8,39.47116858
Godawari Power and Ispat Ltd,GPIL,Iron & Steel,2854.312188,810.05,17.11423545
Mahindra Holidays and Resorts India Ltd,MHRIL,"Hotels, Resorts & Cruise Lines",2846.561978,214.15,-21.55475197
Equitas Holdings Ltd,EQUITAS,Consumer Finance,2833.440053,82.9,13.84134421
Suryoday Small Finance Bank Ltd,SURYODAY,Private Banks,2814.589506,265.2,20.05595727
Sharda Cropchem Ltd,SHARDACROP,Fertilizers & Agro Chemicals,2775.633529,307.65,16.85573285
Lemon Tree Hotels Ltd,LEMONTREE,"Hotels, Resorts & Cruise Lines",2766.153156,35,-290.0648036
Uflex Ltd,UFLEX,Packaging,2755.590306,381.6,7.458667936
BSE Ltd,BSE,Stock Exchanges & Ratings,2744.906267,609.65,24.13602181
Mahindra Lifespace Developers Ltd,MAHLIFE,Real Estate,2725.110027,530.35,-14.08213147
Ashoka Buildcon Ltd,ASHOKA,Construction & Engineering,2721.611589,96.95,16.46169231
Alembic Ltd,ALEMBICLTD,Pharmaceuticals,2719.319559,105.9,9.20541436
Bhansali Engg Polymers Ltd,BEPL,Commodity Chemicals,2717.534383,163.8,40.55416181
Polyplex Corp Ltd,POLYPLEX,Commodity Chemicals,2716.546699,865.35,9.813456818
Barbeque-Nation Hospitality Ltd,BARBEQUE,Restaurants & Cafes,2712.851399,722.6,-62.43920118
Future Retail Ltd,FRETAIL,Retail - Department Stores,2689.729032,49.6,220.7772046
PTC India Ltd,PTC,Power Trading & Consultancy,2686.275513,90.75,7.308598866
Kirloskar Ferrous Industries Ltd,KIRLFER,Iron & Steel,2677.046977,193.5,23.71791612
Deepak Fertilisers and Petrochemicals Corp Ltd,DEEPAKFERT,Fertilizers & Agro Chemicals,2666.01059,259.65,27.23503061
Religare Enterprises Ltd,RELIGARE,Investment Banking & Brokerage,2662.883704,102.65,-2.614912508
Heranba Industries Ltd,HERANBA,,2632.886129,658,26.29342822
Indo Count Industries Ltd,ICIL,Textiles,2613.571631,132.4,35.4238497
HIL Ltd,HIL,Cement,2588.373905,3454.6,24.45874732
Nippon India Liquid Bees ETF,LIQUIDBEES,Debt,2580.812992,999.99,
Ujjivan Financial Services Ltd,UJJIVAN,Consumer Finance,2566.941305,211,9.07269815
